Station ID,Pollutant,Date,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
31103,Fine Particulate Matter,2016-01-01,13,14,14,14,10,9,6,7,7,7,6,6,6,9,11,8,8,8,9,9,9,10,10,9
31103,Fine Particulate Matter,2016-01-02,8,8,7,8,13,16,12,11,11,12,12,11,11,11,10,10,9,10,10,8,9,8,8,6
31103,Fine Particulate Matter,2016-01-03,7,9,10,11,10,10,10,9,9,8,4,3,3,3,3,3,3,4,5,5,5,5,6,6
31103,Fine Particulate Matter,2016-01-04,5,4,5,6,6,5,6,6,6,6,6,5,4,4,5,5,5,5,5,5,5,5,6,6
31103,Fine Particulate Matter,2016-01-05,7,8,8,9,9,8,8,10,12,14,11,9,9,6,7,7,8,8,7,8,8,8,9,9
31103,Fine Particulate Matter,2016-01-06,8,8,9,10,10,10,10,11,12,13,12,11,11,11,9,8,10,12,15,14,12,13,14,14
31103,Fine Particulate Matter,2016-01-07,14,16,17,17,17,18,19,19,21,25,28,25,21,22,18,17,21,21,23,23,24,24,24,25
31103,Fine Particulate Matter,2016-01-08,27,28,28,27,26,25,24,24,22,18,15,16,17,17,15,14,14,17,18,16,17,17,16,17
31103,Fine Particulate Matter,2016-01-09,20,20,14,9,7,7,6,5,6,6,6,7,7,6,6,6,7,8,11,17,15,13,11,12
31103,Fine Particulate Matter,2016-01-10,11,8,6,3,4,3,2,1,1,2,3,3,2,1,2,2,4,4,4,4,4,4,4,4
31103,Fine Particulate Matter,2016-01-11,3,3,4,3,3,3,3,4,4,4,4,4,4,4,3,4,4,5,8,9,9,9,9,8
31103,Fine Particulate Matter,2016-01-12,10,10,11,11,12,11,10,10,8,10,11,11,12,12,10,10,9,10,10,7,6,5,4,4
31103,Fine Particulate Matter,2016-01-13,4,4,4,3,4,4,3,3,4,4,4,4,4,5,6,5,6,6,8,10,8,7,5,6
31103,Fine Particulate Matter,2016-01-14,7,9,8,9,10,11,12,13,15,17,16,13,13,11,11,12,14,16,17,20,22,22,20,19
31103,Fine Particulate Matter,2016-01-15,21,25,23,17,16,15,13,13,15,17,15,15,16,15,15,14,14,16,16,17,18,18,14,9
31103,Fine Particulate Matter,2016-01-16,12,8,6,6,8,7,11,8,5,5,4,4,4,4,4,4,4,4,4,4,4,5,4,4
31103,Fine Particulate Matter,2016-01-17,4,4,5,4,4,5,5,6,7,9,11,11,11,7,6,5,5,5,5,5,5,5,5,4
31103,Fine Particulate Matter,2016-01-18,4,4,3,3,3,3,3,3,3,4,3,3,3,2,2,3,2,3,3,3,3,4,4,3
31103,Fine Particulate Matter,2016-01-19,3,4,4,5,5,4,5,3,3,3,3,2,2,2,3,3,3,5,5,5,4,4,5,4
31103,Fine Particulate Matter,2016-01-20,4,4,4,4,3,3,4,4,6,7,7,7,7,6,5,6,6,6,7,9,9,9,9,9
31103,Fine Particulate Matter,2016-01-21,12,16,14,12,15,15,15,15,9,7,6,5,5,5,5,5,5,5,5,4,6,6,5,6
31103,Fine Particulate Matter,2016-01-22,6,6,5,4,4,3,4,5,6,7,8,6,5,4,5,5,6,7,6,6,6,6,5,5
31103,Fine Particulate Matter,2016-01-23,5,6,6,5,5,4,4,4,5,6,5,5,5,5,5,5,5,7,7,7,7,7,6,6
31103,Fine Particulate Matter,2016-01-24,5,5,6,7,7,6,6,6,6,8,10,13,13,12,12,11,9,8,10,11,12,14,14,15
31103,Fine Particulate Matter,2016-01-25,18,20,20,18,15,16,17,17,17,15,14,13,13,15,15,14,14,14,14,14,17,15,9,6
31103,Fine Particulate Matter,2016-01-26,6,7,7,7,6,6,7,8,9,10,12,15,13,8,12,16,18,23,23,17,13,12,8,8
31103,Fine Particulate Matter,2016-01-27,8,8,8,7,3,3,3,3,9999,9999,2,2,-999,-999,9999,2,2,2,2,2,9999,9999,9999,9999
31103,Fine Particulate Matter,2016-01-28,9999,9999,9999,9999,9999,17,19,18,17,17,17,17,17,16,15,15,15,15,16,17,17,17,17,12
31103,Fine Particulate Matter,2016-01-29,4,3,2,2,2,2,3,3,3,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5
31103,Fine Particulate Matter,2016-01-30,6,6,6,7,8,7,6,-999,-999,-999,-999,-999,-999,-999,-999,9999,9999,9999,9999,9999,9999,9999,15,12
31103,Fine Particulate Matter,2016-01-31,13,15,15,16,15,15,16,15,15,14,15,17,14,12,11,10,8,6,6,8,7,6,9,9
31103,Fine Particulate Matter,2016-02-01,6,4,7,6,4,3,3,3,5,6,5,4,5,5,4,4,5,6,8,10,11,10,8,8
31103,Fine Particulate Matter,2016-02-02,8,7,6,5,5,4,4,3,4,5,7,7,6,5,6,5,6,7,7,7,7,6,6,6
31103,Fine Particulate Matter,2016-02-03,6,7,7,7,7,7,8,6,4,2,2,2,2,2,2,5,7,8,7,8,7,7,8,9
31103,Fine Particulate Matter,2016-02-04,12,15,14,10,6,4,4,5,5,6,6,5,4,4,4,4,4,5,5,5,5,6,5,5
31103,Fine Particulate Matter,2016-02-05,5,6,6,5,4,4,5,6,7,7,8,6,7,9,6,4,5,6,6,7,8,9,10,11
31103,Fine Particulate Matter,2016-02-06,11,11,11,10,9,10,11,13,18,19,17,14,12,10,6,5,5,8,8,11,9,8,9,14
31103,Fine Particulate Matter,2016-02-07,21,26,29,29,27,25,22,17,16,16,16,15,13,12,12,13,13,14,15,14,13,12,10,12
31103,Fine Particulate Matter,2016-02-08,13,13,11,9,8,8,8,8,8,8,8,8,8,7,7,7,7,7,7,7,6,6,7,6
31103,Fine Particulate Matter,2016-02-09,6,6,6,6,6,7,10,10,12,14,14,13,11,10,9,11,9,8,5,5,5,4,5,7
31103,Fine Particulate Matter,2016-02-10,8,8,12,8,5,3,3,4,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4
31103,Fine Particulate Matter,2016-02-11,3,4,4,5,5,4,4,4,4,4,3,3,3,3,3,3,3,4,5,5,5,5,5,4
31103,Fine Particulate Matter,2016-02-12,4,5,5,5,5,5,5,6,6,7,7,6,6,6,6,6,6,7,6,5,5,5,6,5
31103,Fine Particulate Matter,2016-02-13,5,5,5,4,4,4,4,4,5,6,6,6,6,6,6,5,5,6,7,8,7,7,6,5
31103,Fine Particulate Matter,2016-02-14,6,7,6,6,6,5,5,4,6,8,7,5,5,5,5,5,6,7,7,7,8,7,7,6
31103,Fine Particulate Matter,2016-02-15,6,5,5,5,5,5,5,5,5,6,6,7,8,8,9,10,11,12,14,14,14,14,13,11
31103,Fine Particulate Matter,2016-02-16,10,10,10,11,12,15,17,19,18,17,15,15,16,14,18,14,12,11,9,8,8,9,9,10
31103,Fine Particulate Matter,2016-02-17,12,13,15,13,12,15,20,22,25,23,12,4,3,3,3,3,3,4,4,5,4,4,5,4
31103,Fine Particulate Matter,2016-02-18,5,5,5,5,5,6,5,6,7,8,7,6,4,3,4,4,5,6,6,8,7,6,6,5
31103,Fine Particulate Matter,2016-02-19,4,4,5,5,5,5,4,4,5,6,6,6,6,5,5,6,5,7,8,8,7,6,6,7
